person_id,season,contract_type,total_value,guaranteed_value,current_salary,cap_hit,years_remaining,as_of_date,source,source_url,salary,guaranteed,player_option,team_option,early_termination_option
1631128,2028-29,NBA contract,,,21551726,21551726,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,25000000,,0,0,0
1631128,2029-30,NBA contract,,,21551726,21551726,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,26724137,,0,0,0
1630192,2026-27,NBA contract,,,7466667,7466667,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,7466667,,0,0,0
1630192,2027-28,NBA contract,,,7466667,7466667,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,7466667,,1,0,0
1642461,2026-27,NBA contract,,,6000000,6000000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,6000000,,0,0,0
1642461,2027-28,NBA contract,,,6000000,6000000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,5750000,,0,0,0
1631124,2026-27,NBA contract,,,4826838,4826838,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,4826838,,0,0,0
1631124,2027-28,NBA contract,,,4826838,4826838,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,7722940,,0,0,0
1626145,2026-27,NBA contract,,,3876529,3876529,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/denver-nuggets/7/,3876529,,0,0,0
1630162,2026-27,NBA contract,,,48924624,48924624,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,48924624,,0,0,0
1630162,2027-28,NBA contract,,,48924624,48924624,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,52298736,,0,0,0
1630162,2028-29,NBA contract,,,48924624,48924624,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,55672848,,0,0,0
1630163,2026-27,NBA contract,,,40770520,40770520,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,40770520,,0,0,0
1630163,2027-28,NBA contract,,,40770520,40770520,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,43582280,,0,0,0
1630163,2028-29,NBA contract,,,40770520,40770520,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,46394040,,0,0,0
203497,2026-27,NBA contract,,,36500000,36500000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,36500000,,0,0,0
203497,2027-28,NBA contract,,,36500000,36500000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,38000000,,1,0,0
1630183,2026-27,NBA contract,,,25750001,25750001,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,25750001,,0,0,0
1630183,2027-28,NBA contract,,,25750001,25750001,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,28006898,,0,0,0
1630183,2028-29,NBA contract,,,25750001,25750001,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,29813790,,0,0,0
1630245,2026-27,NBA contract,,,19310345,19310345,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,19310345,,0,0,0
1630245,2027-28,NBA contract,,,19310345,19310345,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,20855173,,0,0,0
1630245,2028-29,NBA contract,,,19310345,19310345,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,22400001,,0,0,0
1630245,2029-30,NBA contract,,,19310345,19310345,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,23944829,,0,0,0
1630182,2026-27,NBA contract,,,14679012,14679012,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,14679012,,0,0,0
1628978,2026-27,NBA contract,,,12535000,12535000,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,12535000,,0,0,0
1626168,2026-27,NBA contract,,,3876529,3876529,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,3876529,,0,0,0
1641740,2026-27,NBA contract,,,3086420,3086420,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,3086420,,0,0,0
1641740,2027-28,NBA contract,,,3086420,3086420,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,3333334,,0,0,0
1641740,2028-29,NBA contract,,,3086420,3086420,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/minnesota-timberwolves/16/,3580246,,0,0,0
1626164,2026-27,NBA contract,,,57078728,57078728,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,57078728,,0,0,0
1626164,2027-28,NBA contract,,,57078728,57078728,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,61015192,,0,0,0
1626164,2028-29,NBA contract,,,57078728,57078728,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,72042305,,0,0,0
1626164,2029-30,NBA contract,,,57078728,57078728,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,77805689,,1,0,0
1630224,2026-27,NBA contract,,,36251166,36251166,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,36251166,,0,0,0
1630224,2027-28,NBA contract,,,36251166,36251166,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,36000000,,1,0,0
1628970,2026-27,NBA contract,,,22826087,22826087,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,22826087,,0,0,0
1628415,2026-27,NBA contract,,,20992727,20992727,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,20992727,,0,0,0
203078,2026-27,NBA contract,,,19383010,19383010,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,19383010,,0,0,0
203078,2027-28,NBA contract,,,19383010,19383010,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,19383010,,0,0,0
203078,2028-29,NBA contract,,,19383010,19383010,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,19383010,,0,0,0
203078,2029-30,NBA contract,,,19383010,19383010,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,19383010,,0,0,0
1631109,2026-27,NBA contract,,,11728395,11728395,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,11728395,,0,0,0
1631109,2027-28,NBA contract,,,11728395,11728395,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,12666667,,0,0,0
1631109,2028-29,NBA contract,,,11728395,11728395,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,13604938,,0,0,0
1631221,2026-27,NBA contract,,,10714286,10714286,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,10714286,,0,0,0
1631221,2027-28,NBA contract,,,10714286,10714286,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,11571429,,0,0,0
1631221,2028-29,NBA contract,,,10714286,10714286,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,12428571,,0,0,0
1631221,2029-30,NBA contract,,,10714286,10714286,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,13285714,,0,0,0
1628379,2026-27,NBA contract,,,6064000,6064000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,6064000,,0,0,0
1628379,2027-28,NBA contract,,,6064000,6064000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,6367200,,1,0,0
1630692,2026-27,NBA contract,,,5864198,5864198,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,5864198,,0,0,0
1630692,2027-28,NBA contract,,,5864198,5864198,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,6333333,,0,0,0
1630692,2028-29,NBA contract,,,5864198,5864198,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/phoenix-suns/21/,6802469,,1,0,0
201939,2026-27,NBA contract,,,62587158,62587158,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,62587158,,0,0,0
203110,2026-27,NBA contract,,,27678571,27678571,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,27678571,,0,0,0
1630541,2026-27,NBA contract,,,12500000,12500000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,12500000,,0,0,0
1630541,2027-28,NBA contract,,,12500000,12500000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,13425925,,0,0,0
201143,2026-27,NBA contract,,,6822000,6822000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,6822000,,0,0,0
201143,2027-28,NBA contract,,,6822000,6822000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,7163100,,1,0,0
1630611,2026-27,NBA contract,,,4629630,4629630,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,4629630,,0,0,0
1630611,2027-28,NBA contract,,,4629630,4629630,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,5000000,,0,0,0
1630611,2028-29,NBA contract,,,4629630,4629630,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/golden-state-warriors/9/,5370370,,1,0,0
1628384,2026-27,NBA contract,,,42500000,42500000,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,42500000,,0,0,0
1628384,2027-28,NBA contract,,,42500000,42500000,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,45431034,,0,0,0
1628384,2028-29,NBA contract,,,42500000,42500000,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,48362068,,1,0,0
